R18A1603.454907
U-C_VOL_ 16/10/2018 03:45:49 16/10/2018 03:45:49 0170 23.7534 38.0631 -7.2 160.0 15.0 1013.0
10.0 160.0 25.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
9.4017,19.0000,0.0000,0.0000,9.7488,45.0000,0.0000,0.0000,17.0000,0.0000
9.3755,14.0000,0.0000,0.0000,9.7401,47.0000,0.0000,0.0000,25.0000,0.0000
9.3581,25.0000,0.0000,0.0000,9.7366,47.0000,0.0000,0.0000,26.0000,0.0000
9.3755,23.0000,0.0000,0.0000,9.7384,48.0000,0.0000,0.0000,26.0000,0.0000
9.4540,19.0000,0.0000,0.0000,9.7523,81.0000,0.0000,0.0000,40.0000,0.0000
9.2796,50.0000,0.0000,0.0000,9.7401,94.0000,0.0000,0.0000,79.0000,0.0000
9.4715,82.0000,0.0000,0.0000,9.7244,98.0000,0.0000,0.0000,90.0000,0.0000
9.5151,94.0000,0.0000,0.0000,9.7698,106.0000,0.0000,0.0000,103.0000,0.0000
9.4279,101.0000,0.0000,0.0000,9.8099,98.0000,0.0000,0.0000,98.0000,0.0000
9.7331,89.0000,0.0000,0.0000,10.5111,105.0000,0.0000,0.0000,103.0000,0.0000
10.1692,100.0000,0.0000,0.0000,12.0478,97.0000,0.0000,0.0000,99.0000,0.0000
10.3960,94.0000,0.0000,0.0000,12.8432,101.0000,0.0000,0.0000,97.0000,0.0000
10.6489,105.0000,0.0000,0.0000,12.5711,103.0000,0.0000,0.0000,96.0000,0.0000
10.8931,104.0000,0.0000,0.0000,13.6177,110.0000,0.0000,0.0000,101.0000,0.0000
11.6257,95.0000,0.0000,0.0000,21.5437,97.0000,0.0000,0.0000,100.0000,0.0000
16.5707,99.0000,0.0000,0.0000,45.2241,102.0000,0.0000,0.0000,96.0000,0.0000
30.4901,105.0000,0.0000,0.0000,87.6557,103.0000,0.0000,0.0000,98.0000,0.0000
52.8432,106.0000,0.0000,0.0000,138.7179,98.0000,0.0000,0.0000,108.0000,0.0000
74.8212,95.0000,0.0000,0.0000,183.5043,97.0000,0.0000,0.0000,90.0000,0.0000
93.8950,101.0000,0.0000,0.0000,200.0000,98.0000,0.0000,0.0000,99.0000,0.0000
110.4483,99.0000,0.0000,0.0000,200.0000,95.0000,0.0000,0.0000,93.0000,0.0000
117.5388,100.0000,0.0000,0.0000,200.0000,103.0000,0.0000,0.0000,104.0000,0.0000
121.9519,107.0000,0.0000,0.0000,200.0000,102.0000,0.0000,0.0000,96.0000,0.0000
132.7926,102.0000,0.0000,0.0000,200.0000,96.0000,0.0000,0.0000,94.0000,0.0000
136.7870,100.0000,0.0000,0.0000,200.0000,104.0000,0.0000,0.0000,101.0000,0.0000
138.1388,100.0000,0.0000,0.0000,200.0000,93.0000,0.0000,0.0000,100.0000,0.0000
144.1392,98.0000,0.0000,0.0000,200.0000,103.0000,0.0000,0.0000,99.0000,0.0000
144.8282,96.0000,0.0000,0.0000,200.0000,102.0000,0.0000,0.0000,98.0000,0.0000
140.8687,96.0000,0.0000,0.0000,200.0000,93.0000,0.0000,0.0000,102.0000,0.0000
136.0980,94.0000,0.0000,0.0000,200.0000,96.0000,0.0000,0.0000,99.0000,0.0000
135.0602,99.0000,0.0000,0.0000,200.0000,101.0000,0.0000,0.0000,108.0000,0.0000
135.5486,98.0000,0.0000,0.0000,200.0000,96.0000,0.0000,0.0000,99.0000,0.0000
130.9960,100.0000,0.0000,0.0000,200.0000,99.0000,0.0000,0.0000,101.0000,0.0000
128.5453,97.0000,0.0000,0.0000,200.0000,104.0000,0.0000,0.0000,95.0000,0.0000
126.8707,98.0000,0.0000,0.0000,200.0000,100.0000,0.0000,0.0000,99.0000,0.0000
123.6264,106.0000,0.0000,0.0000,200.0000,99.0000,0.0000,0.0000,96.0000,0.0000
118.0883,98.0000,0.0000,0.0000,200.0000,94.0000,0.0000,0.0000,105.0000,0.0000
112.9949,97.0000,0.0000,0.0000,200.0000,107.0000,0.0000,0.0000,94.0000,0.0000
110.1954,98.0000,0.0000,0.0000,200.0000,95.0000,0.0000,0.0000,89.0000,0.0000
105.6689,103.0000,0.0000,0.0000,200.0000,96.0000,0.0000,0.0000,95.0000,0.0000
