R18A1603.332578
U-C_VOL_ 16/10/2018 03:33:24 16/10/2018 03:33:24 0170 23.7534 38.0631 -2.6 85.0 15.0 1013.0
10.0 160.0 25.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
9.1052,17.0000,0.0000,0.0000,9.3982,34.0000,0.0000,0.0000,22.0000,0.0000
9.1662,15.0000,0.0000,0.0000,9.3860,43.0000,0.0000,0.0000,23.0000,0.0000
9.0790,30.0000,0.0000,0.0000,9.3895,52.0000,0.0000,0.0000,22.0000,0.0000
9.0877,23.0000,0.0000,0.0000,9.3790,41.0000,0.0000,0.0000,33.0000,0.0000
9.1052,26.0000,0.0000,0.0000,9.3773,69.0000,0.0000,0.0000,32.0000,0.0000
8.9744,49.0000,0.0000,0.0000,9.3965,90.0000,0.0000,0.0000,68.0000,0.0000
9.1837,84.0000,0.0000,0.0000,9.3930,94.0000,0.0000,0.0000,91.0000,0.0000
9.2011,95.0000,0.0000,0.0000,9.4226,99.0000,0.0000,0.0000,92.0000,0.0000
9.1750,103.0000,0.0000,0.0000,9.4052,99.0000,0.0000,0.0000,93.0000,0.0000
9.4628,88.0000,0.0000,0.0000,9.8116,97.0000,0.0000,0.0000,96.0000,0.0000
9.9424,92.0000,0.0000,0.0000,11.2541,102.0000,0.0000,0.0000,90.0000,0.0000
10.1954,96.0000,0.0000,0.0000,12.3286,97.0000,0.0000,0.0000,101.0000,0.0000
10.5355,103.0000,0.0000,0.0000,12.6199,92.0000,0.0000,0.0000,94.0000,0.0000
10.5617,96.0000,0.0000,0.0000,13.1031,97.0000,0.0000,0.0000,100.0000,0.0000
11.5297,97.0000,0.0000,0.0000,18.2923,99.0000,0.0000,0.0000,92.0000,0.0000
16.1172,101.0000,0.0000,0.0000,38.7459,96.0000,0.0000,0.0000,95.0000,0.0000
26.8533,97.0000,0.0000,0.0000,77.9627,90.0000,0.0000,0.0000,93.0000,0.0000
43.6595,99.0000,0.0000,0.0000,123.4415,94.0000,0.0000,0.0000,90.0000,0.0000
61.8524,95.0000,0.0000,0.0000,165.5346,87.0000,0.0000,0.0000,96.0000,0.0000
79.2343,101.0000,0.0000,0.0000,191.0379,95.0000,0.0000,0.0000,95.0000,0.0000
93.3717,98.0000,0.0000,0.0000,192.8571,107.0000,0.0000,0.0000,92.0000,0.0000
106.3666,94.0000,0.0000,0.0000,192.8571,94.0000,0.0000,0.0000,98.0000,0.0000
117.4952,101.0000,0.0000,0.0000,192.8571,97.0000,0.0000,0.0000,97.0000,0.0000
122.5885,95.0000,0.0000,0.0000,192.8571,89.0000,0.0000,0.0000,96.0000,0.0000
125.1177,99.0000,0.0000,0.0000,192.8571,102.0000,0.0000,0.0000,101.0000,0.0000
127.1324,96.0000,0.0000,0.0000,192.8571,88.0000,0.0000,0.0000,98.0000,0.0000
130.2896,73.0000,0.0000,0.0000,192.8571,74.0000,0.0000,0.0000,78.0000,0.0000
130.1064,5.0000,0.0000,0.0000,192.8571,2.0000,0.0000,0.0000,7.0000,0.0000
126.0597,21.0000,0.0000,0.0000,192.8571,10.0000,0.0000,0.0000,25.0000,0.0000
124.6555,6.0000,0.0000,0.0000,192.8571,18.0000,0.0000,0.0000,8.0000,0.0000
122.7193,36.0000,0.0000,0.0000,192.8571,36.0000,0.0000,0.0000,23.0000,0.0000
119.6494,41.0000,0.0000,0.0000,192.8571,36.0000,0.0000,0.0000,50.0000,0.0000
120.2948,43.0000,0.0000,0.0000,192.8571,38.0000,0.0000,0.0000,41.0000,0.0000
120.4605,42.0000,0.0000,0.0000,192.8571,49.0000,0.0000,0.0000,21.0000,0.0000
125.0654,42.0000,0.0000,0.0000,192.8571,44.0000,0.0000,0.0000,6.0000,0.0000
531.7373,35.0000,0.0000,0.0000,192.8571,41.0000,0.0000,0.0000,3.0000,0.0000
964.2857,22.0000,0.0000,0.0000,192.8571,58.0000,0.0000,0.0000,1.0000,0.0000
964.2857,9.0000,0.0000,0.0000,192.8571,43.0000,0.0000,0.0000,2.0000,0.0000
964.2857,15.0000,0.0000,0.0000,192.8571,35.0000,0.0000,0.0000,3.0000,0.0000
962.8641,10.0000,0.0000,0.0000,192.8571,40.0000,0.0000,0.0000,1.0000,0.0000
750.7239,6.0000,0.0000,0.0000,192.8571,27.0000,0.0000,0.0000,0.0000,0.0000
221.6815,8.0000,0.0000,0.0000,192.8571,27.0000,0.0000,0.0000,1.0000,0.0000
0.0000,4.0000,0.0000,0.0000,192.8571,24.0000,0.0000,0.0000,1.0000,0.0000
48.0813,5.0000,0.0000,0.0000,140.2948,26.0000,0.0000,0.0000,0.0000,0.0000
45.9707,5.0000,0.0000,0.0000,18.9656,20.0000,0.0000,0.0000,1.0000,0.0000
0.0000,7.0000,0.0000,0.0000,38.7982,21.0000,0.0000,0.0000,0.0000,0.0000
18.6900,2.0000,0.0000,0.0000,14.1514,20.0000,0.0000,0.0000,2.0000,0.0000
17.7307,5.0000,0.0000,0.0000,8.6586,23.0000,0.0000,0.0000,0.0000,0.0000
1.4042,5.0000,0.0000,0.0000,22.2170,20.0000,0.0000,0.0000,0.0000,0.0000
13.9281,0.0000,0.0000,0.0000,15.2712,20.0000,0.0000,0.0000,1.0000,0.0000
12.5850,6.0000,0.0000,0.0000,14.2020,25.0000,0.0000,0.0000,0.0000,0.0000
7.1516,2.0000,0.0000,0.0000,17.5301,24.0000,0.0000,0.0000,0.0000,0.0000
10.6489,1.0000,0.0000,0.0000,15.0462,27.0000,0.0000,0.0000,0.0000,0.0000
10.0733,4.0000,0.0000,0.0000,15.1579,25.0000,0.0000,0.0000,0.0000,0.0000
8.7825,4.0000,0.0000,0.0000,16.1434,32.0000,0.0000,0.0000,0.0000,0.0000
9.8901,6.0000,0.0000,0.0000,15.3428,28.0000,0.0000,0.0000,0.0000,0.0000
9.4366,3.0000,0.0000,0.0000,15.3340,34.0000,0.0000,0.0000,1.0000,0.0000
9.4017,4.0000,0.0000,0.0000,15.6061,22.0000,0.0000,0.0000,0.0000,0.0000
9.8029,2.0000,0.0000,0.0000,15.5573,23.0000,0.0000,0.0000,0.0000,0.0000
9.5500,2.0000,0.0000,0.0000,15.8957,27.0000,0.0000,0.0000,0.0000,0.0000
9.5587,2.0000,0.0000,0.0000,16.2097,26.0000,0.0000,0.0000,0.0000,0.0000
9.6372,1.0000,0.0000,0.0000,16.1852,14.0000,0.0000,0.0000,0.0000,0.0000
9.3843,2.0000,0.0000,0.0000,16.2445,14.0000,0.0000,0.0000,0.0000,0.0000
9.2883,4.0000,0.0000,0.0000,16.0597,14.0000,0.0000,0.0000,0.0000,0.0000
9.2883,0.0000,0.0000,0.0000,16.0440,19.0000,0.0000,0.0000,0.0000,0.0000
9.2273,3.0000,0.0000,0.0000,16.2794,20.0000,0.0000,0.0000,0.0000,0.0000
9.0790,0.0000,0.0000,0.0000,16.1259,14.0000,0.0000,0.0000,0.0000,0.0000
9.1837,2.0000,0.0000,0.0000,15.7265,10.0000,0.0000,0.0000,0.0000,0.0000
9.1488,2.0000,0.0000,0.0000,15.6532,5.0000,0.0000,0.0000,0.0000,0.0000
9.2622,1.0000,0.0000,0.0000,15.9253,12.0000,0.0000,0.0000,0.0000,0.0000
9.4279,0.0000,0.0000,0.0000,16.0998,5.0000,0.0000,0.0000,0.0000,0.0000
9.4889,1.0000,0.0000,0.0000,15.8434,9.0000,0.0000,0.0000,0.0000,0.0000
9.5238,0.0000,0.0000,0.0000,15.7195,8.0000,0.0000,0.0000,0.0000,0.0000
9.5325,2.0000,0.0000,0.0000,15.9480,9.0000,0.0000,0.0000,0.0000,0.0000
9.4192,0.0000,0.0000,0.0000,16.0160,7.0000,0.0000,0.0000,0.0000,0.0000
9.2883,0.0000,0.0000,0.0000,15.9777,5.0000,0.0000,0.0000,0.0000,0.0000
9.1052,1.0000,0.0000,0.0000,15.9759,9.0000,0.0000,0.0000,0.0000,0.0000
9.0005,0.0000,0.0000,0.0000,15.8887,3.0000,0.0000,0.0000,0.0000,0.0000
9.0005,2.0000,0.0000,0.0000,15.7352,5.0000,0.0000,0.0000,0.0000,0.0000
8.9831,0.0000,0.0000,0.0000,15.6672,5.0000,0.0000,0.0000,0.0000,0.0000
9.0092,0.0000,0.0000,0.0000,15.6515,5.0000,0.0000,0.0000,0.0000,0.0000
