R18A1603.315783
U-C_VOL_ 16/10/2018 03:31:56 16/10/2018 03:31:56 0170 23.7534 38.0631 -9.0 60.0 15.0 1013.0
10.0 160.0 25.0  00.0 -10.0 00.2  00.0
0000015 0020 0000015 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000015 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000015 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000015 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000015 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000015 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
9.1168,15.0000,0.0000,0.0000,9.4392,51.0000,0.0000,0.0000,19.0000,0.0000
9.0761,20.0000,0.0000,0.0000,9.4098,43.0000,0.0000,0.0000,24.0000,0.0000
9.0517,20.0000,0.0000,0.0000,9.4164,47.0000,0.0000,0.0000,31.0000,0.0000
9.1249,29.0000,0.0000,0.0000,9.4457,56.0000,0.0000,0.0000,24.0000,0.0000
9.1738,27.0000,0.0000,0.0000,9.4229,82.0000,0.0000,0.0000,38.0000,0.0000
9.0110,53.0000,0.0000,0.0000,9.4245,98.0000,0.0000,0.0000,74.0000,0.0000
9.2145,73.0000,0.0000,0.0000,9.4261,97.0000,0.0000,0.0000,92.0000,0.0000
9.2389,96.0000,0.0000,0.0000,9.4652,106.0000,0.0000,0.0000,99.0000,0.0000
9.1656,101.0000,0.0000,0.0000,9.4164,103.0000,0.0000,0.0000,94.0000,0.0000
9.2715,102.0000,0.0000,0.0000,10.0611,97.0000,0.0000,0.0000,99.0000,0.0000
9.9064,98.0000,0.0000,0.0000,11.6549,99.0000,0.0000,0.0000,100.0000,0.0000
10.0448,105.0000,0.0000,0.0000,12.2719,114.0000,0.0000,0.0000,103.0000,0.0000
10.2890,103.0000,0.0000,0.0000,12.2768,108.0000,0.0000,0.0000,102.0000,0.0000
10.8181,109.0000,0.0000,0.0000,13.0956,108.0000,0.0000,0.0000,97.0000,0.0000
11.7379,101.0000,0.0000,0.0000,19.1502,104.0000,0.0000,0.0000,104.0000,0.0000
15.1567,108.0000,0.0000,0.0000,41.6589,104.0000,0.0000,0.0000,96.0000,0.0000
25.8364,108.0000,0.0000,0.0000,81.4196,96.0000,0.0000,0.0000,104.0000,0.0000
43.0769,111.0000,0.0000,0.0000,125.9617,103.0000,0.0000,0.0000,102.0000,0.0000
61.2291,98.0000,0.0000,0.0000,166.8751,108.0000,0.0000,0.0000,108.0000,0.0000
80.4965,105.0000,0.0000,0.0000,191.0932,104.0000,0.0000,0.0000,97.0000,0.0000
95.1648,106.0000,0.0000,0.0000,193.3333,101.0000,0.0000,0.0000,97.0000,0.0000
104.0944,104.0000,0.0000,0.0000,193.3333,105.0000,0.0000,0.0000,99.0000,0.0000
109.4750,103.0000,0.0000,0.0000,193.3333,103.0000,0.0000,0.0000,103.0000,0.0000
116.6463,105.0000,0.0000,0.0000,193.3333,104.0000,0.0000,0.0000,99.0000,0.0000
122.4176,97.0000,0.0000,0.0000,193.3333,117.0000,0.0000,0.0000,105.0000,0.0000
124.5747,107.0000,0.0000,0.0000,193.3333,98.0000,0.0000,0.0000,108.0000,0.0000
123.8746,109.0000,0.0000,0.0000,193.3333,104.0000,0.0000,0.0000,102.0000,0.0000
123.5002,102.0000,0.0000,0.0000,193.3333,109.0000,0.0000,0.0000,103.0000,0.0000
124.3956,107.0000,0.0000,0.0000,193.3333,105.0000,0.0000,0.0000,102.0000,0.0000
123.3130,98.0000,0.0000,0.0000,193.3333,103.0000,0.0000,0.0000,101.0000,0.0000
119.1779,102.0000,0.0000,0.0000,193.3333,103.0000,0.0000,0.0000,99.0000,0.0000
115.9463,112.0000,0.0000,0.0000,193.3333,101.0000,0.0000,0.0000,106.0000,0.0000
114.4892,103.0000,0.0000,0.0000,193.3333,100.0000,0.0000,0.0000,93.0000,0.0000
111.4693,106.0000,0.0000,0.0000,193.3333,98.0000,0.0000,0.0000,110.0000,0.0000
110.7123,95.0000,0.0000,0.0000,193.3333,99.0000,0.0000,0.0000,99.0000,0.0000
107.4318,103.0000,0.0000,0.0000,193.3333,98.0000,0.0000,0.0000,107.0000,0.0000
101.1803,99.0000,0.0000,0.0000,193.3333,99.0000,0.0000,0.0000,102.0000,0.0000
100.6838,104.0000,0.0000,0.0000,193.3333,96.0000,0.0000,0.0000,100.0000,0.0000
101.1315,110.0000,0.0000,0.0000,193.3333,104.0000,0.0000,0.0000,94.0000,0.0000
97.1998,102.0000,0.0000,0.0000,193.1298,109.0000,0.0000,0.0000,114.0000,0.0000
92.0716,106.0000,0.0000,0.0000,192.0716,118.0000,0.0000,0.0000,100.0000,0.0000
89.3366,102.0000,0.0000,0.0000,192.3468,102.0000,0.0000,0.0000,105.0000,0.0000
87.5214,103.0000,0.0000,0.0000,187.5360,105.0000,0.0000,0.0000,103.0000,0.0000
84.3549,109.0000,0.0000,0.0000,180.6642,98.0000,0.0000,0.0000,103.0000,0.0000
