R18A1603.375558
U-C_VOL_ 16/10/2018 03:37:54 16/10/2018 03:37:54 0170 23.7534 38.0631 -5.2 110.0 15.0 1013.0
10.0 160.0 25.0  00.0 -10.0 00.2  00.0
0000013 0020 0000013 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
9.5520,20.0000,0.0000,0.0000,9.7361,49.0000,0.0000,0.0000,15.0000,0.0000
9.4862,20.0000,0.0000,0.0000,9.7361,43.0000,0.0000,0.0000,18.0000,0.0000
9.4017,23.0000,0.0000,0.0000,9.7436,36.0000,0.0000,0.0000,16.0000,0.0000
9.3547,30.0000,0.0000,0.0000,9.7323,44.0000,0.0000,0.0000,23.0000,0.0000
9.4487,35.0000,0.0000,0.0000,9.7361,70.0000,0.0000,0.0000,40.0000,0.0000
9.2890,51.0000,0.0000,0.0000,9.7624,90.0000,0.0000,0.0000,80.0000,0.0000
9.5050,86.0000,0.0000,0.0000,9.7511,101.0000,0.0000,0.0000,87.0000,0.0000
9.5802,93.0000,0.0000,0.0000,9.7887,90.0000,0.0000,0.0000,86.0000,0.0000
9.4862,88.0000,0.0000,0.0000,9.7849,90.0000,0.0000,0.0000,90.0000,0.0000
9.8713,95.0000,0.0000,0.0000,10.5006,102.0000,0.0000,0.0000,94.0000,0.0000
10.5945,95.0000,0.0000,0.0000,12.3096,91.0000,0.0000,0.0000,89.0000,0.0000
10.7730,90.0000,0.0000,0.0000,13.0046,98.0000,0.0000,0.0000,94.0000,0.0000
