R18A1603.275253
U-C_VOL_ 16/10/2018 03:27:51 16/10/2018 03:27:51 0170 23.7534 38.0631 -7.6 35.0 15.0 1013.0
10.0 160.0 25.0  00.0 -10.0 00.2  00.0
0000013 0020 0000013 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
9.4768,18.0000,0.0000,0.0000,9.7511,32.0000,0.0000,0.0000,22.0000,0.0000
9.4581,25.0000,0.0000,0.0000,9.7342,38.0000,0.0000,0.0000,26.0000,0.0000
9.4581,24.0000,0.0000,0.0000,9.7380,35.0000,0.0000,0.0000,21.0000,0.0000
9.4111,24.0000,0.0000,0.0000,9.7436,50.0000,0.0000,0.0000,25.0000,0.0000
9.3829,25.0000,0.0000,0.0000,9.7323,67.0000,0.0000,0.0000,34.0000,0.0000
9.3360,39.0000,0.0000,0.0000,9.7605,90.0000,0.0000,0.0000,71.0000,0.0000
9.6083,69.0000,0.0000,0.0000,9.7549,94.0000,0.0000,0.0000,79.0000,0.0000
9.6083,92.0000,0.0000,0.0000,9.7962,87.0000,0.0000,0.0000,91.0000,0.0000
9.5238,92.0000,0.0000,0.0000,9.7718,85.0000,0.0000,0.0000,84.0000,0.0000
9.8431,91.0000,0.0000,0.0000,10.2132,100.0000,0.0000,0.0000,94.0000,0.0000
10.8669,84.0000,0.0000,0.0000,11.4793,88.0000,0.0000,0.0000,103.0000,0.0000
10.8387,95.0000,0.0000,0.0000,12.5331,94.0000,0.0000,0.0000,91.0000,0.0000
10.7072,92.0000,0.0000,0.0000,12.6928,91.0000,0.0000,0.0000,89.0000,0.0000
10.9890,92.0000,0.0000,0.0000,12.9952,92.0000,0.0000,0.0000,92.0000,0.0000
11.4868,93.0000,0.0000,0.0000,18.0577,99.0000,0.0000,0.0000,90.0000,0.0000
14.6238,90.0000,0.0000,0.0000,38.5141,96.0000,0.0000,0.0000,89.0000,0.0000
25.0587,88.0000,0.0000,0.0000,78.3676,94.0000,0.0000,0.0000,89.0000,0.0000
41.7019,96.0000,0.0000,0.0000,124.2434,89.0000,0.0000,0.0000,86.0000,0.0000
59.7915,90.0000,0.0000,0.0000,167.0762,93.0000,0.0000,0.0000,87.0000,0.0000
78.4728,101.0000,0.0000,0.0000,195.8486,89.0000,0.0000,0.0000,101.0000,0.0000
92.4955,92.0000,0.0000,0.0000,200.0000,95.0000,0.0000,0.0000,89.0000,0.0000
101.4464,92.0000,0.0000,0.0000,200.0000,90.0000,0.0000,0.0000,86.0000,0.0000
113.1211,89.0000,0.0000,0.0000,200.0000,92.0000,0.0000,0.0000,89.0000,0.0000
120.8134,96.0000,0.0000,0.0000,200.0000,91.0000,0.0000,0.0000,91.0000,0.0000
121.3112,90.0000,0.0000,0.0000,200.0000,98.0000,0.0000,0.0000,86.0000,0.0000
123.2554,94.0000,0.0000,0.0000,200.0000,91.0000,0.0000,0.0000,91.0000,0.0000
128.0361,89.0000,0.0000,0.0000,200.0000,94.0000,0.0000,0.0000,90.0000,0.0000
127.6228,89.0000,0.0000,0.0000,200.0000,90.0000,0.0000,0.0000,86.0000,0.0000
127.5946,97.0000,0.0000,0.0000,200.0000,90.0000,0.0000,0.0000,92.0000,0.0000
127.8013,100.0000,0.0000,0.0000,200.0000,89.0000,0.0000,0.0000,100.0000,0.0000
123.1708,87.0000,0.0000,0.0000,200.0000,87.0000,0.0000,0.0000,94.0000,0.0000
119.0100,92.0000,0.0000,0.0000,200.0000,90.0000,0.0000,0.0000,87.0000,0.0000
