R18A1603.444833
U-C_VOL_ 16/10/2018 03:44:48 16/10/2018 03:44:48 0170 23.7534 38.0631 -4.2 160.0 15.0 1013.0
10.0 160.0 25.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
9.4366,23.0000,0.0000,0.0000,9.7209,49.0000,0.0000,0.0000,30.0000,0.0000
9.4104,26.0000,0.0000,0.0000,9.7209,58.0000,0.0000,0.0000,24.0000,0.0000
9.3668,25.0000,0.0000,0.0000,9.7244,42.0000,0.0000,0.0000,28.0000,0.0000
9.3755,22.0000,0.0000,0.0000,9.7436,54.0000,0.0000,0.0000,26.0000,0.0000
9.4453,26.0000,0.0000,0.0000,9.7523,77.0000,0.0000,0.0000,40.0000,0.0000
9.2011,49.0000,0.0000,0.0000,9.7558,92.0000,0.0000,0.0000,78.0000,0.0000
9.4976,87.0000,0.0000,0.0000,9.7453,98.0000,0.0000,0.0000,89.0000,0.0000
9.5325,102.0000,0.0000,0.0000,9.7942,96.0000,0.0000,0.0000,95.0000,0.0000
9.4366,102.0000,0.0000,0.0000,9.7610,95.0000,0.0000,0.0000,89.0000,0.0000
10.0035,88.0000,0.0000,0.0000,10.3227,96.0000,0.0000,0.0000,105.0000,0.0000
10.9716,107.0000,0.0000,0.0000,12.1315,98.0000,0.0000,0.0000,96.0000,0.0000
10.8582,102.0000,0.0000,0.0000,13.2566,100.0000,0.0000,0.0000,101.0000,0.0000
