R18A1800.543617
U-C_VOL_ 18/10/2018 00:54:36 18/10/2018 00:54:36 0170 23.7534 38.0631 -8.0 52.0 15.0 1013.0
22.0 162.0 30.0  00.0 -10.0 00.2  00.0
0000013 0020 0000013 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000012 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000012 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000012 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000012 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000012 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
8.8663,80.0000,0.0000,0.0000,9.2852,78.0000,0.0000,0.0000,28.0000,0.0000
8.8100,80.0000,0.0000,0.0000,9.2890,86.0000,0.0000,0.0000,31.0000,0.0000
8.8945,79.0000,0.0000,0.0000,9.2928,81.0000,0.0000,0.0000,33.0000,0.0000
8.8006,74.0000,0.0000,0.0000,9.3040,83.0000,0.0000,0.0000,24.0000,0.0000
8.7912,72.0000,0.0000,0.0000,9.3247,81.0000,0.0000,0.0000,34.0000,0.0000
8.7349,69.0000,0.0000,0.0000,9.3397,88.0000,0.0000,0.0000,30.0000,0.0000
8.9509,69.0000,0.0000,0.0000,9.3134,81.0000,0.0000,0.0000,62.0000,0.0000
8.9884,71.0000,0.0000,0.0000,9.3472,82.0000,0.0000,0.0000,68.0000,0.0000
9.7398,76.0000,0.0000,0.0000,10.5795,83.0000,0.0000,0.0000,79.0000,0.0000
16.4647,80.0000,0.0000,0.0000,25.0719,85.0000,0.0000,0.0000,87.0000,0.0000
25.2184,83.0000,0.0000,0.0000,55.9932,89.0000,0.0000,0.0000,80.0000,0.0000
24.1570,90.0000,0.0000,0.0000,67.7017,86.0000,0.0000,0.0000,82.0000,0.0000
21.0482,85.0000,0.0000,0.0000,56.3577,87.0000,0.0000,0.0000,86.0000,0.0000
19.7990,83.0000,0.0000,0.0000,48.0398,88.0000,0.0000,0.0000,86.0000,0.0000
16.5587,86.0000,0.0000,0.0000,43.1577,79.0000,0.0000,0.0000,85.0000,0.0000
15.8167,76.0000,0.0000,0.0000,47.9797,61.0000,0.0000,0.0000,87.0000,0.0000
17.1785,86.0000,0.0000,0.0000,72.8562,79.0000,0.0000,0.0000,87.0000,0.0000
18.2305,83.0000,0.0000,0.0000,83.5897,82.0000,0.0000,0.0000,89.0000,0.0000
22.4946,81.0000,0.0000,0.0000,80.0601,93.0000,0.0000,0.0000,88.0000,0.0000
30.5156,89.0000,0.0000,0.0000,100.4302,90.0000,0.0000,0.0000,85.0000,0.0000
35.8505,82.0000,0.0000,0.0000,122.8421,94.0000,0.0000,0.0000,91.0000,0.0000
41.6361,83.0000,0.0000,0.0000,135.7979,89.0000,0.0000,0.0000,84.0000,0.0000
49.9953,90.0000,0.0000,0.0000,153.4104,89.0000,0.0000,0.0000,86.0000,0.0000
65.7462,95.0000,0.0000,0.0000,179.1566,88.0000,0.0000,0.0000,85.0000,0.0000
95.0972,86.0000,0.0000,0.0000,192.3077,85.0000,0.0000,0.0000,84.0000,0.0000
96.5812,89.0000,0.0000,0.0000,192.3077,94.0000,0.0000,0.0000,85.0000,0.0000
72.4335,93.0000,0.0000,0.0000,192.3077,81.0000,0.0000,0.0000,90.0000,0.0000
63.9053,82.0000,0.0000,0.0000,191.8663,94.0000,0.0000,0.0000,88.0000,0.0000
67.3429,88.0000,0.0000,0.0000,189.3660,90.0000,0.0000,0.0000,85.0000,0.0000
64.9948,88.0000,0.0000,0.0000,185.9810,86.0000,0.0000,0.0000,88.0000,0.0000
64.6191,89.0000,0.0000,0.0000,181.8184,90.0000,0.0000,0.0000,82.0000,0.0000
67.8219,84.0000,0.0000,0.0000,184.1345,94.0000,0.0000,0.0000,86.0000,0.0000
66.4600,86.0000,0.0000,0.0000,184.8352,95.0000,0.0000,0.0000,81.0000,0.0000
63.5578,86.0000,0.0000,0.0000,182.6900,92.0000,0.0000,0.0000,94.0000,0.0000
64.4031,88.0000,0.0000,0.0000,185.0981,88.0000,0.0000,0.0000,88.0000,0.0000
62.4495,85.0000,0.0000,0.0000,184.3580,84.0000,0.0000,0.0000,90.0000,0.0000
60.5898,91.0000,0.0000,0.0000,179.0288,86.0000,0.0000,0.0000,87.0000,0.0000
61.1064,89.0000,0.0000,0.0000,175.5762,88.0000,0.0000,0.0000,89.0000,0.0000
60.1202,89.0000,0.0000,0.0000,173.3127,89.0000,0.0000,0.0000,81.0000,0.0000
59.8572,85.0000,0.0000,0.0000,168.7461,84.0000,0.0000,0.0000,79.0000,0.0000
60.5804,88.0000,0.0000,0.0000,165.4626,82.0000,0.0000,0.0000,92.0000,0.0000
58.0070,93.0000,0.0000,0.0000,161.4840,84.0000,0.0000,0.0000,84.0000,0.0000
54.4379,80.0000,0.0000,0.0000,154.7065,98.0000,0.0000,0.0000,83.0000,0.0000
53.0666,84.0000,0.0000,0.0000,151.0641,85.0000,0.0000,0.0000,86.0000,0.0000
53.0384,93.0000,0.0000,0.0000,147.9666,93.0000,0.0000,0.0000,88.0000,0.0000
51.4229,80.0000,0.0000,0.0000,143.5634,88.0000,0.0000,0.0000,75.0000,0.0000
49.3754,87.0000,0.0000,0.0000,139.9080,85.0000,0.0000,0.0000,78.0000,0.0000
48.2765,79.0000,0.0000,0.0000,134.6839,88.0000,0.0000,0.0000,82.0000,0.0000
48.3423,96.0000,0.0000,0.0000,129.0072,84.0000,0.0000,0.0000,82.0000,0.0000
47.3936,87.0000,0.0000,0.0000,125.4626,88.0000,0.0000,0.0000,81.0000,0.0000
44.3975,83.0000,0.0000,0.0000,120.8359,90.0000,0.0000,0.0000,89.0000,0.0000
43.8621,87.0000,0.0000,0.0000,116.7202,92.0000,0.0000,0.0000,86.0000,0.0000
44.1063,91.0000,0.0000,0.0000,115.9294,93.0000,0.0000,0.0000,78.0000,0.0000
41.5234,77.0000,0.0000,0.0000,112.6590,92.0000,0.0000,0.0000,87.0000,0.0000
39.8046,85.0000,0.0000,0.0000,106.6329,89.0000,0.0000,0.0000,90.0000,0.0000
41.1853,81.0000,0.0000,0.0000,104.0500,85.0000,0.0000,0.0000,81.0000,0.0000
41.6737,89.0000,0.0000,0.0000,103.7870,82.0000,0.0000,0.0000,82.0000,0.0000
39.9925,87.0000,0.0000,0.0000,100.1860,86.0000,0.0000,0.0000,74.0000,0.0000
37.5693,83.0000,0.0000,0.0000,96.7052,88.0000,0.0000,0.0000,80.0000,0.0000
37.1748,90.0000,0.0000,0.0000,94.1129,85.0000,0.0000,0.0000,80.0000,0.0000
37.1466,76.0000,0.0000,0.0000,91.3083,90.0000,0.0000,0.0000,78.0000,0.0000
