R18A1801.033729
U-C_VOL_ 18/10/2018 01:03:37 18/10/2018 01:03:37 0170 23.7534 38.0631 -3.4 142.0 15.0 1013.0
22.0 162.0 30.0  00.0 -10.0 00.2  00.0
0000013 0020 0000013 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
9.1951,29.0000,0.0000,0.0000,9.6891,62.0000,0.0000,0.0000,27.0000,0.0000
9.2326,32.0000,0.0000,0.0000,9.6854,56.0000,0.0000,0.0000,20.0000,0.0000
9.2514,28.0000,0.0000,0.0000,9.6929,69.0000,0.0000,0.0000,24.0000,0.0000
9.1481,20.0000,0.0000,0.0000,9.6985,59.0000,0.0000,0.0000,28.0000,0.0000
9.1763,25.0000,0.0000,0.0000,9.6872,52.0000,0.0000,0.0000,29.0000,0.0000
9.1012,21.0000,0.0000,0.0000,9.6985,76.0000,0.0000,0.0000,46.0000,0.0000
9.2608,35.0000,0.0000,0.0000,9.6985,93.0000,0.0000,0.0000,68.0000,0.0000
9.3829,66.0000,0.0000,0.0000,9.7417,101.0000,0.0000,0.0000,77.0000,0.0000
9.3266,75.0000,0.0000,0.0000,9.7999,93.0000,0.0000,0.0000,85.0000,0.0000
9.8056,93.0000,0.0000,0.0000,10.9496,85.0000,0.0000,0.0000,89.0000,0.0000
10.7636,87.0000,0.0000,0.0000,13.9157,98.0000,0.0000,0.0000,85.0000,0.0000
10.7260,96.0000,0.0000,0.0000,15.4410,98.0000,0.0000,0.0000,92.0000,0.0000
10.3222,93.0000,0.0000,0.0000,14.9394,87.0000,0.0000,0.0000,87.0000,0.0000
10.7636,87.0000,0.0000,0.0000,14.3665,89.0000,0.0000,0.0000,90.0000,0.0000
11.0360,92.0000,0.0000,0.0000,14.7459,91.0000,0.0000,0.0000,93.0000,0.0000
11.1769,71.0000,0.0000,0.0000,19.9624,40.0000,0.0000,0.0000,84.0000,0.0000
13.3934,49.0000,0.0000,0.0000,37.5768,35.0000,0.0000,0.0000,94.0000,0.0000
19.5548,69.0000,0.0000,0.0000,68.1244,52.0000,0.0000,0.0000,87.0000,0.0000
29.0410,55.0000,0.0000,0.0000,101.1027,46.0000,0.0000,0.0000,93.0000,0.0000
40.8472,59.0000,0.0000,0.0000,133.7165,32.0000,0.0000,0.0000,86.0000,0.0000
52.7660,29.0000,0.0000,0.0000,169.3904,26.0000,0.0000,0.0000,93.0000,0.0000
64.7882,30.0000,0.0000,0.0000,194.9000,32.0000,0.0000,0.0000,88.0000,0.0000
77.6181,36.0000,0.0000,0.0000,199.6825,29.0000,0.0000,0.0000,89.0000,0.0000
84.5872,70.0000,0.0000,0.0000,200.0000,66.0000,0.0000,0.0000,91.0000,0.0000
119.0946,70.0000,0.0000,0.0000,200.0000,62.0000,0.0000,0.0000,88.0000,0.0000
177.6932,50.0000,0.0000,0.0000,200.0000,39.0000,0.0000,0.0000,95.0000,0.0000
157.4810,68.0000,0.0000,0.0000,200.0000,32.0000,0.0000,0.0000,95.0000,0.0000
141.6455,79.0000,0.0000,0.0000,200.0000,53.0000,0.0000,0.0000,89.0000,0.0000
328.7029,79.0000,0.0000,0.0000,200.0000,72.0000,0.0000,0.0000,88.0000,0.0000
799.6243,87.0000,0.0000,0.0000,200.0000,55.0000,0.0000,0.0000,89.0000,0.0000
752.9351,90.0000,0.0000,0.0000,200.0000,73.0000,0.0000,0.0000,92.0000,0.0000
236.8273,93.0000,0.0000,0.0000,200.0000,92.0000,0.0000,0.0000,95.0000,0.0000
101.0238,92.0000,0.0000,0.0000,200.0000,94.0000,0.0000,0.0000,84.0000,0.0000
205.5133,90.0000,0.0000,0.0000,200.0000,72.0000,0.0000,0.0000,92.0000,0.0000
234.8361,78.0000,0.0000,0.0000,200.0000,64.0000,0.0000,0.0000,88.0000,0.0000
190.3541,74.0000,0.0000,0.0000,200.0000,61.0000,0.0000,0.0000,92.0000,0.0000
134.1692,66.0000,0.0000,0.0000,200.0000,46.0000,0.0000,0.0000,92.0000,0.0000
180.8021,82.0000,0.0000,0.0000,200.0000,80.0000,0.0000,0.0000,88.0000,0.0000
263.1164,92.0000,0.0000,0.0000,200.0000,93.0000,0.0000,0.0000,88.0000,0.0000
212.8957,89.0000,0.0000,0.0000,200.0000,90.0000,0.0000,0.0000,89.0000,0.0000
