R18A1803.311025
U-C_VOL_ 18/10/2018 03:31:10 18/10/2018 03:31:10 0170 23.7534 38.0631 -0.5 32.0 15.0 1013.0
10.0 169.0 02.0  00.0 -20.0 00.5  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
9.1052,80.0000,0.0000,0.0000,9.6756,40.0000,0.0000,0.0000,48.0000,0.0000
9.1052,86.0000,0.0000,0.0000,9.6791,35.0000,0.0000,0.0000,45.0000,0.0000
9.1313,93.0000,0.0000,0.0000,9.6668,45.0000,0.0000,0.0000,43.0000,0.0000
9.0790,90.0000,0.0000,0.0000,9.6634,82.0000,0.0000,0.0000,29.0000,0.0000
9.1488,79.0000,0.0000,0.0000,9.6494,96.0000,0.0000,0.0000,24.0000,0.0000
8.9918,82.0000,0.0000,0.0000,9.6511,69.0000,0.0000,0.0000,27.0000,0.0000
9.2534,78.0000,0.0000,0.0000,9.6599,86.0000,0.0000,0.0000,44.0000,0.0000
9.3058,69.0000,0.0000,0.0000,9.6756,91.0000,0.0000,0.0000,64.0000,0.0000
19.6843,85.0000,0.0000,0.0000,22.2048,93.0000,0.0000,0.0000,71.0000,0.0000
98.2906,85.0000,0.0000,0.0000,165.5974,98.0000,0.0000,0.0000,81.0000,0.0000
176.1905,94.0000,0.0000,0.0000,200.0000,92.0000,0.0000,0.0000,86.0000,0.0000
105.6951,85.0000,0.0000,0.0000,200.0000,96.0000,0.0000,0.0000,93.0000,0.0000
31.5018,91.0000,0.0000,0.0000,200.0000,102.0000,0.0000,0.0000,93.0000,0.0000
31.3623,102.0000,0.0000,0.0000,200.0000,113.0000,0.0000,0.0000,92.0000,0.0000
22.9984,100.0000,0.0000,0.0000,182.8467,91.0000,0.0000,0.0000,91.0000,0.0000
14.2072,93.0000,0.0000,0.0000,81.6274,109.0000,0.0000,0.0000,92.0000,0.0000
17.1900,88.0000,0.0000,0.0000,64.1671,94.0000,0.0000,0.0000,88.0000,0.0000
16.1608,101.0000,0.0000,0.0000,73.8636,105.0000,0.0000,0.0000,97.0000,0.0000
