R18A1803.234862
U-C_VOL_ 18/10/2018 03:23:47 18/10/2018 03:23:47 0170 23.7534 38.0631 0.0 42.0 15.0 1013.0
10.0 169.0 02.0  00.0 -20.0 00.5  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
8.8348,23.0000,0.0000,0.0000,9.3424,59.0000,0.0000,0.0000,25.0000,0.0000
8.8174,22.0000,0.0000,0.0000,9.3197,62.0000,0.0000,0.0000,31.0000,0.0000
8.8610,58.0000,0.0000,0.0000,9.3145,71.0000,0.0000,0.0000,29.0000,0.0000
8.8087,101.0000,0.0000,0.0000,9.3180,92.0000,0.0000,0.0000,36.0000,0.0000
8.8087,97.0000,0.0000,0.0000,9.3302,87.0000,0.0000,0.0000,35.0000,0.0000
8.6866,95.0000,0.0000,0.0000,9.3302,95.0000,0.0000,0.0000,49.0000,0.0000
8.9482,94.0000,0.0000,0.0000,9.3267,94.0000,0.0000,0.0000,62.0000,0.0000
8.9395,98.0000,0.0000,0.0000,9.3633,93.0000,0.0000,0.0000,77.0000,0.0000
8.8784,87.0000,0.0000,0.0000,9.3668,89.0000,0.0000,0.0000,75.0000,0.0000
9.2360,98.0000,0.0000,0.0000,10.2390,92.0000,0.0000,0.0000,86.0000,0.0000
10.0384,99.0000,0.0000,0.0000,12.7036,92.0000,0.0000,0.0000,85.0000,0.0000
13.3002,96.0000,0.0000,0.0000,17.2859,80.0000,0.0000,0.0000,80.0000,0.0000
30.7780,95.0000,0.0000,0.0000,55.1596,93.0000,0.0000,0.0000,90.0000,0.0000
52.2676,92.0000,0.0000,0.0000,153.1903,83.0000,0.0000,0.0000,89.0000,0.0000
57.4045,88.0000,0.0000,0.0000,192.8571,78.0000,0.0000,0.0000,90.0000,0.0000
57.4481,89.0000,0.0000,0.0000,192.8571,57.0000,0.0000,0.0000,88.0000,0.0000
67.0330,70.0000,0.0000,0.0000,192.8571,58.0000,0.0000,0.0000,81.0000,0.0000
108.1982,99.0000,0.0000,0.0000,192.8571,71.0000,0.0000,0.0000,84.0000,0.0000
174.3677,88.0000,0.0000,0.0000,192.8571,74.0000,0.0000,0.0000,84.0000,0.0000
236.7085,82.0000,0.0000,0.0000,192.8571,75.0000,0.0000,0.0000,86.0000,0.0000
286.1678,64.0000,0.0000,0.0000,192.8571,60.0000,0.0000,0.0000,86.0000,0.0000
305.3550,79.0000,0.0000,0.0000,192.8571,55.0000,0.0000,0.0000,88.0000,0.0000
314.6695,81.0000,0.0000,0.0000,192.8571,84.0000,0.0000,0.0000,88.0000,0.0000
294.1305,86.0000,0.0000,0.0000,192.8571,60.0000,0.0000,0.0000,92.0000,0.0000
199.8168,83.0000,0.0000,0.0000,192.8571,68.0000,0.0000,0.0000,83.0000,0.0000
161.9309,84.0000,0.0000,0.0000,192.8571,71.0000,0.0000,0.0000,87.0000,0.0000
175.8416,102.0000,0.0000,0.0000,192.8571,76.0000,0.0000,0.0000,82.0000,0.0000
121.5681,94.0000,0.0000,0.0000,192.8571,86.0000,0.0000,0.0000,77.0000,0.0000
81.1268,90.0000,0.0000,0.0000,192.8571,85.0000,0.0000,0.0000,80.0000,0.0000
87.5371,90.0000,0.0000,0.0000,192.8571,82.0000,0.0000,0.0000,81.0000,0.0000
138.1388,104.0000,0.0000,0.0000,192.8571,95.0000,0.0000,0.0000,84.0000,0.0000
182.6007,93.0000,0.0000,0.0000,192.8571,87.0000,0.0000,0.0000,69.0000,0.0000
150.5407,83.0000,0.0000,0.0000,192.8571,91.0000,0.0000,0.0000,65.0000,0.0000
149.7820,98.0000,0.0000,0.0000,192.8571,80.0000,0.0000,0.0000,50.0000,0.0000
227.1062,89.0000,0.0000,0.0000,192.8571,69.0000,0.0000,0.0000,36.0000,0.0000
267.7045,96.0000,0.0000,0.0000,192.8571,60.0000,0.0000,0.0000,32.0000,0.0000
237.4324,92.0000,0.0000,0.0000,192.8571,75.0000,0.0000,0.0000,13.0000,0.0000
239.4122,92.0000,0.0000,0.0000,192.8571,80.0000,0.0000,0.0000,10.0000,0.0000
276.6265,93.0000,0.0000,0.0000,192.8571,95.0000,0.0000,0.0000,1.0000,0.0000
269.9285,70.0000,0.0000,0.0000,192.8571,79.0000,0.0000,0.0000,2.0000,0.0000
272.2222,54.0000,0.0000,0.0000,192.8571,78.0000,0.0000,0.0000,1.0000,0.0000
304.1165,19.0000,0.0000,0.0000,192.8571,50.0000,0.0000,0.0000,1.0000,0.0000
298.7528,11.0000,0.0000,0.0000,192.8571,28.0000,0.0000,0.0000,0.0000,0.0000
254.0555,4.0000,0.0000,0.0000,192.8571,9.0000,0.0000,0.0000,3.0000,0.0000
190.1797,3.0000,0.0000,0.0000,192.8571,10.0000,0.0000,0.0000,0.0000,0.0000
120.3994,0.0000,0.0000,0.0000,192.8571,4.0000,0.0000,0.0000,0.0000,0.0000
59.5238,4.0000,0.0000,0.0000,192.8571,5.0000,0.0000,0.0000,0.0000,0.0000
34.4322,2.0000,0.0000,0.0000,192.8571,5.0000,0.0000,0.0000,0.0000,0.0000
25.1003,1.0000,0.0000,0.0000,192.8571,4.0000,0.0000,0.0000,1.0000,0.0000
14.8090,1.0000,0.0000,0.0000,185.3305,2.0000,0.0000,0.0000,1.0000,0.0000
10.9541,2.0000,0.0000,0.0000,64.3276,4.0000,0.0000,0.0000,0.0000,0.0000
10.5355,2.0000,0.0000,0.0000,17.0591,5.0000,0.0000,0.0000,0.0000,0.0000
9.2796,1.0000,0.0000,0.0000,13.9264,2.0000,0.0000,0.0000,1.0000,0.0000
9.0005,0.0000,0.0000,0.0000,9.3773,3.0000,0.0000,0.0000,0.0000,0.0000
9.0529,2.0000,0.0000,0.0000,10.6349,1.0000,0.0000,0.0000,1.0000,0.0000
8.8174,1.0000,0.0000,0.0000,10.4413,1.0000,0.0000,0.0000,0.0000,0.0000
9.1226,0.0000,0.0000,0.0000,9.0197,1.0000,0.0000,0.0000,0.0000,0.0000
9.3058,0.0000,0.0000,0.0000,9.9023,2.0000,0.0000,0.0000,0.0000,0.0000
9.0965,1.0000,0.0000,0.0000,10.1099,0.0000,0.0000,0.0000,0.0000,0.0000
9.2534,0.0000,0.0000,0.0000,9.8256,3.0000,0.0000,0.0000,0.0000,0.0000
9.4628,0.0000,0.0000,0.0000,10.0244,2.0000,0.0000,0.0000,0.0000,0.0000
9.3843,1.0000,0.0000,0.0000,9.9145,3.0000,0.0000,0.0000,1.0000,0.0000
9.2447,0.0000,0.0000,0.0000,9.5814,1.0000,0.0000,0.0000,0.0000,0.0000
9.1488,1.0000,0.0000,0.0000,9.5011,2.0000,0.0000,0.0000,0.0000,0.0000
8.9133,0.0000,0.0000,0.0000,9.3930,3.0000,0.0000,0.0000,1.0000,0.0000
8.7476,0.0000,0.0000,0.0000,9.2866,1.0000,0.0000,0.0000,0.0000,0.0000
8.7214,0.0000,0.0000,0.0000,9.2971,2.0000,0.0000,0.0000,0.0000,0.0000
