R18A1803.283188
U-C_VOL_ 18/10/2018 03:28:31 18/10/2018 03:28:30 0170 23.7534 38.0631 0.0 148.0 15.0 1013.0
10.0 169.0 02.0  00.0 -20.0 00.5  00.0
0000015 0020 0000015 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000015 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000015 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000015 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000015 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000015 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
0 (mV), 1 (counts), 2 (mV), 3 (counts), 4 (mV), 5 (counts), 6 (mV), 7 (counts), 8 (counts), 9 (counts)
8.8889,84.0000,0.0000,0.0000,9.3626,101.0000,0.0000,0.0000,32.0000,0.0000
8.7993,81.0000,0.0000,0.0000,9.3594,67.0000,0.0000,0.0000,41.0000,0.0000
8.8400,64.0000,0.0000,0.0000,9.3398,14.0000,0.0000,0.0000,51.0000,0.0000
8.8726,48.0000,0.0000,0.0000,9.3415,32.0000,0.0000,0.0000,51.0000,0.0000
8.8319,97.0000,0.0000,0.0000,9.3398,48.0000,0.0000,0.0000,36.0000,0.0000
8.6610,103.0000,0.0000,0.0000,9.3594,85.0000,0.0000,0.0000,55.0000,0.0000
8.9540,100.0000,0.0000,0.0000,9.3691,83.0000,0.0000,0.0000,60.0000,0.0000
8.9459,110.0000,0.0000,0.0000,9.4001,69.0000,0.0000,0.0000,62.0000,0.0000
9.3122,105.0000,0.0000,0.0000,9.6524,96.0000,0.0000,0.0000,76.0000,0.0000
14.3753,107.0000,0.0000,0.0000,16.5193,93.0000,0.0000,0.0000,76.0000,0.0000
36.3858,102.0000,0.0000,0.0000,57.6801,94.0000,0.0000,0.0000,76.0000,0.0000
102.4664,101.0000,0.0000,0.0000,182.6471,82.0000,0.0000,0.0000,70.0000,0.0000
106.0887,87.0000,0.0000,0.0000,193.3333,32.0000,0.0000,0.0000,76.0000,0.0000
45.8038,40.0000,0.0000,0.0000,193.3333,24.0000,0.0000,0.0000,49.0000,0.0000
93.6996,24.0000,0.0000,0.0000,193.3333,22.0000,0.0000,0.0000,25.0000,0.0000
116.4672,19.0000,0.0000,0.0000,193.3333,26.0000,0.0000,0.0000,38.0000,0.0000
93.1868,22.0000,0.0000,0.0000,193.3333,15.0000,0.0000,0.0000,25.0000,0.0000
162.6292,29.0000,0.0000,0.0000,193.3333,30.0000,0.0000,0.0000,20.0000,0.0000
229.8575,47.0000,0.0000,0.0000,193.3333,54.0000,0.0000,0.0000,2.0000,0.0000
238.3069,40.0000,0.0000,0.0000,193.3333,27.0000,0.0000,0.0000,1.0000,0.0000
244.6154,6.0000,0.0000,0.0000,193.3333,12.0000,0.0000,0.0000,0.0000,0.0000
287.8551,3.0000,0.0000,0.0000,193.3333,36.0000,0.0000,0.0000,0.0000,0.0000
485.1119,4.0000,0.0000,0.0000,193.3333,21.0000,0.0000,0.0000,0.0000,0.0000
689.4912,4.0000,0.0000,0.0000,193.3333,15.0000,0.0000,0.0000,0.0000,0.0000
386.2190,4.0000,0.0000,0.0000,193.3333,11.0000,0.0000,0.0000,0.0000,0.0000
9.1005,1.0000,0.0000,0.0000,193.3333,10.0000,0.0000,0.0000,0.0000,0.0000
17.6720,1.0000,0.0000,0.0000,193.3333,7.0000,0.0000,0.0000,0.0000,0.0000
63.3862,1.0000,0.0000,0.0000,193.3333,10.0000,0.0000,0.0000,0.0000,0.0000
2.1164,0.0000,0.0000,0.0000,193.3333,2.0000,0.0000,0.0000,0.0000,0.0000
9.4750,3.0000,0.0000,0.0000,193.3333,5.0000,0.0000,0.0000,0.0000,0.0000
22.0269,0.0000,0.0000,0.0000,185.3236,8.0000,0.0000,0.0000,0.0000,0.0000
1.7013,2.0000,0.0000,0.0000,79.6956,2.0000,0.0000,0.0000,0.0000,0.0000
8.6365,3.0000,0.0000,0.0000,14.2434,4.0000,0.0000,0.0000,0.0000,0.0000
13.0240,0.0000,0.0000,0.0000,4.3403,5.0000,0.0000,0.0000,0.0000,0.0000
7.0574,1.0000,0.0000,0.0000,14.6211,2.0000,0.0000,0.0000,0.0000,0.0000
9.7599,1.0000,0.0000,0.0000,11.2088,6.0000,0.0000,0.0000,0.0000,0.0000
10.5657,0.0000,0.0000,0.0000,8.9198,3.0000,0.0000,0.0000,0.0000,0.0000
8.5796,2.0000,0.0000,0.0000,11.0965,5.0000,0.0000,0.0000,0.0000,0.0000
9.4098,2.0000,0.0000,0.0000,9.6980,5.0000,0.0000,0.0000,0.0000,0.0000
9.3040,0.0000,0.0000,0.0000,9.2536,7.0000,0.0000,0.0000,0.0000,0.0000
8.5470,1.0000,0.0000,0.0000,10.0122,8.0000,0.0000,0.0000,0.0000,0.0000
8.8400,0.0000,0.0000,0.0000,9.3936,9.0000,0.0000,0.0000,0.0000,0.0000
8.6691,0.0000,0.0000,0.0000,9.0501,10.0000,0.0000,0.0000,0.0000,0.0000
8.4737,0.0000,0.0000,0.0000,9.2145,4.0000,0.0000,0.0000,0.0000,0.0000
8.9621,1.0000,0.0000,0.0000,9.2601,6.0000,0.0000,0.0000,0.0000,0.0000
9.1575,0.0000,0.0000,0.0000,9.4831,6.0000,0.0000,0.0000,0.0000,0.0000
9.0761,1.0000,0.0000,0.0000,9.7387,5.0000,0.0000,0.0000,0.0000,0.0000
9.2145,0.0000,0.0000,0.0000,9.8299,2.0000,0.0000,0.0000,0.0000,0.0000
9.2959,0.0000,0.0000,0.0000,9.9178,6.0000,0.0000,0.0000,0.0000,0.0000
9.1494,1.0000,0.0000,0.0000,9.9308,2.0000,0.0000,0.0000,0.0000,0.0000
9.1005,0.0000,0.0000,0.0000,9.9585,2.0000,0.0000,0.0000,0.0000,0.0000
8.9540,0.0000,0.0000,0.0000,9.8559,3.0000,0.0000,0.0000,0.0000,0.0000
8.8238,0.0000,0.0000,0.0000,9.6573,4.0000,0.0000,0.0000,0.0000,0.0000
8.6528,0.0000,0.0000,0.0000,9.4310,4.0000,0.0000,0.0000,0.0000,0.0000
8.5470,0.0000,0.0000,0.0000,9.2747,0.0000,0.0000,0.0000,0.0000,0.0000
8.6121,1.0000,0.0000,0.0000,9.2617,5.0000,0.0000,0.0000,0.0000,0.0000
8.7098,0.0000,0.0000,0.0000,9.3024,4.0000,0.0000,0.0000,0.0000,0.0000
8.7831,0.0000,0.0000,0.0000,9.4603,3.0000,0.0000,0.0000,0.0000,0.0000
8.9947,0.0000,0.0000,0.0000,9.6508,3.0000,0.0000,0.0000,0.0000,0.0000
9.1087,0.0000,0.0000,0.0000,9.6768,3.0000,0.0000,0.0000,0.0000,0.0000
9.0598,0.0000,0.0000,0.0000,9.6508,2.0000,0.0000,0.0000,0.0000,0.0000
9.0761,1.0000,0.0000,0.0000,9.6540,1.0000,0.0000,0.0000,0.0000,0.0000
9.0191,0.0000,0.0000,0.0000,9.6459,0.0000,0.0000,0.0000,0.0000,0.0000
8.8807,0.0000,0.0000,0.0000,9.5417,1.0000,0.0000,0.0000,0.0000,0.0000
8.8156,0.0000,0.0000,0.0000,9.3675,2.0000,0.0000,0.0000,0.0000,0.0000
8.6610,0.0000,0.0000,0.0000,9.3057,1.0000,0.0000,0.0000,0.0000,0.0000
8.5714,0.0000,0.0000,0.0000,9.2812,2.0000,0.0000,0.0000,0.0000,0.0000
8.5796,0.0000,0.0000,0.0000,9.2617,0.0000,0.0000,0.0000,0.0000,0.0000
8.6935,0.0000,0.0000,0.0000,9.2926,0.0000,0.0000,0.0000,0.0000,0.0000
8.7668,0.0000,0.0000,0.0000,9.4261,0.0000,0.0000,0.0000,0.0000,0.0000
8.8726,0.0000,0.0000,0.0000,9.5173,0.0000,0.0000,0.0000,0.0000,0.0000
9.0354,0.0000,0.0000,0.0000,9.5092,2.0000,0.0000,0.0000,0.0000,0.0000
9.0517,0.0000,0.0000,0.0000,9.5075,1.0000,0.0000,0.0000,0.0000,0.0000
9.0273,0.0000,0.0000,0.0000,9.5401,0.0000,0.0000,0.0000,0.0000,0.0000
9.0191,0.0000,0.0000,0.0000,9.5059,1.0000,0.0000,0.0000,0.0000,0.0000
8.9377,0.0000,0.0000,0.0000,9.4147,0.0000,0.0000,0.0000,0.0000,0.0000
8.8319,0.0000,0.0000,0.0000,9.3594,0.0000,0.0000,0.0000,0.0000,0.0000
8.7505,0.0000,0.0000,0.0000,9.2731,1.0000,0.0000,0.0000,0.0000,0.0000
8.6854,1.0000,0.0000,0.0000,9.1982,0.0000,0.0000,0.0000,0.0000,0.0000
8.6447,0.0000,0.0000,0.0000,9.2226,0.0000,0.0000,0.0000,0.0000,0.0000
8.7342,0.0000,0.0000,0.0000,9.2682,0.0000,0.0000,0.0000,0.0000,0.0000
8.8075,0.0000,0.0000,0.0000,9.3431,0.0000,0.0000,0.0000,0.0000,0.0000
8.8238,0.0000,0.0000,0.0000,9.4261,0.0000,0.0000,0.0000,0.0000,0.0000
8.9459,0.0000,0.0000,0.0000,9.4505,0.0000,0.0000,0.0000,0.0000,0.0000
8.9296,0.0000,0.0000,0.0000,9.4799,1.0000,0.0000,0.0000,0.0000,0.0000
8.9703,0.0000,0.0000,0.0000,9.4440,0.0000,0.0000,0.0000,0.0000,0.0000
8.9296,0.0000,0.0000,0.0000,9.3871,0.0000,0.0000,0.0000,0.0000,0.0000
8.8889,0.0000,0.0000,0.0000,9.3822,0.0000,0.0000,0.0000,0.0000,0.0000
8.8238,0.0000,0.0000,0.0000,9.3284,0.0000,0.0000,0.0000,0.0000,0.0000
8.7912,0.0000,0.0000,0.0000,9.2584,0.0000,0.0000,0.0000,0.0000,0.0000
8.7342,0.0000,0.0000,0.0000,9.2503,0.0000,0.0000,0.0000,0.0000,0.0000
8.7505,0.0000,0.0000,0.0000,9.2422,1.0000,0.0000,0.0000,0.0000,0.0000
8.7505,0.0000,0.0000,0.0000,9.2568,0.0000,0.0000,0.0000,0.0000,0.0000
8.7586,0.0000,0.0000,0.0000,9.3252,0.0000,0.0000,0.0000,0.0000,0.0000
8.8482,0.0000,0.0000,0.0000,9.3968,0.0000,0.0000,0.0000,0.0000,0.0000
8.9133,0.0000,0.0000,0.0000,9.4212,0.0000,0.0000,0.0000,0.0000,0.0000
8.9296,0.0000,0.0000,0.0000,9.4326,0.0000,0.0000,0.0000,0.0000,0.0000
8.9540,0.0000,0.0000,0.0000,9.4229,0.0000,0.0000,0.0000,0.0000,0.0000
8.8482,0.0000,0.0000,0.0000,9.3887,1.0000,0.0000,0.0000,0.0000,0.0000
8.8400,0.0000,0.0000,0.0000,9.3252,0.0000,0.0000,0.0000,0.0000,0.0000
8.7749,0.0000,0.0000,0.0000,9.3105,0.0000,0.0000,0.0000,0.0000,0.0000
